id,category_id,brand_id,name,slug,short_description,description,specifications_json,search_keywords,status,is_featured,published_at
30000000-0000-4000-8000-000000000001,10000000-0000-4000-8000-000000000001,20000000-0000-4000-8000-000000000001,Vợt cầu lông Yonex Aero Strike 88,vot-yonex-aero-strike-88,Vợt cân bằng tốc độ dành cho trình độ trung cấp,Sản phẩm demo minh họa vợt cân bằng. Không phải bản thương mại chính thức.,"{""material"": ""High Modulus Graphite"", ""balance"": ""Even"", ""shaft_stiffness"": ""Medium"", ""recommended_tension_lbs"": ""20-28"", ""player_level"": ""Intermediate"", ""play_style"": ""All-round""}",vot yonex aero strike 88,active,true,2026-06-01T00:00:00Z
30000000-0000-4000-8000-000000000002,10000000-0000-4000-8000-000000000001,20000000-0000-4000-8000-000000000002,Vợt cầu lông Victor Power Core X7,vot-victor-power-core-x7,Vợt thiên công lực đập mạnh,Sản phẩm demo minh họa vợt head-heavy cho lối đánh tấn công.,"{""material"": ""Graphite Composite"", ""balance"": ""Head Heavy"", ""shaft_stiffness"": ""Stiff"", ""recommended_tension_lbs"": ""24-30"", ""player_level"": ""Advanced"", ""play_style"": ""Attack""}",vot victor power core x7,active,true,2026-06-02T00:00:00Z
30000000-0000-4000-8000-000000000003,10000000-0000-4000-8000-000000000001,20000000-0000-4000-8000-000000000003,Vợt cầu lông Li-Ning Wind Blade 900,vot-li-ning-wind-blade-900,Vợt nhẹ tối ưu tốc độ phản xạ,Sản phẩm demo minh họa vợt nhẹ cho lối đánh nhanh.,"{""material"": ""Carbon Fiber"", ""balance"": ""Head Light"", ""shaft_stiffness"": ""Flexible"", ""recommended_tension_lbs"": ""20-26"", ""player_level"": ""Intermediate"", ""play_style"": ""Speed""}",vot li-ning wind blade 900,active,true,2026-06-03T00:00:00Z
30000000-0000-4000-8000-000000000004,10000000-0000-4000-8000-000000000001,20000000-0000-4000-8000-000000000004,Vợt cầu lông Mizuno Thunder Pulse,vot-mizuno-thunder-pulse,Vợt ổn định khung cho người mới lên trung cấp,Sản phẩm demo với khung ổn định và cảm giác trung tính.,"{""material"": ""Graphite"", ""balance"": ""Even"", ""shaft_stiffness"": ""Medium"", ""recommended_tension_lbs"": ""18-24"", ""player_level"": ""Beginner-Intermediate"", ""play_style"": ""Control""}",vot mizuno thunder pulse,active,false,2026-06-04T00:00:00Z
30000000-0000-4000-8000-000000000005,10000000-0000-4000-8000-000000000001,20000000-0000-4000-8000-000000000005,Vợt cầu lông Kumpoo Speed Light 5,vot-kumpoo-speed-light-5,Vợt siêu nhẹ hỗ trợ chuyển cánh tay nhanh,Sản phẩm demo phân khúc nhẹ cho phòng tập.,"{""material"": ""Carbon"", ""balance"": ""Head Light"", ""shaft_stiffness"": ""Flexible"", ""recommended_tension_lbs"": ""18-24"", ""player_level"": ""Beginner"", ""play_style"": ""Defense""}",vot kumpoo speed light 5,active,false,2026-06-05T00:00:00Z
30000000-0000-4000-8000-000000000006,10000000-0000-4000-8000-000000000001,20000000-0000-4000-8000-000000000006,Vợt cầu lông Apacs Force Pro 99,vot-apacs-force-pro-99,Bản nháp đang hoàn thiện thông số,Sản phẩm draft — chưa công bố bán.,"{""material"": ""Graphite"", ""balance"": ""Head Heavy"", ""shaft_stiffness"": ""Stiff"", ""recommended_tension_lbs"": ""22-28"", ""player_level"": ""Advanced"", ""play_style"": ""Attack""}",vot apacs force pro 99 draft,draft,false,
30000000-0000-4000-8000-000000000007,10000000-0000-4000-8000-000000000002,20000000-0000-4000-8000-000000000004,Giày cầu lông Mizuno Court Flex Pro,giay-mizuno-court-flex-pro,Giày đệm êm cho sân trong nhà,Sản phẩm demo giày cầu lông đế chống trượt trong nhà.,"{""upper_material"": ""Synthetic Mesh"", ""sole_material"": ""Non-marking Rubber"", ""court_type"": ""Indoor"", ""player_level"": ""All levels""}",giay mizuno court flex pro,active,true,2026-06-06T00:00:00Z
30000000-0000-4000-8000-000000000008,10000000-0000-4000-8000-000000000002,20000000-0000-4000-8000-000000000001,Giày cầu lông Yonex Court Glide,giay-yonex-court-glide,Giày nhẹ hỗ trợ đổi hướng nhanh,Sản phẩm demo tập trung độ ôm chân và độ bám.,"{""upper_material"": ""Mesh"", ""sole_material"": ""Gum Rubber"", ""court_type"": ""Indoor"", ""player_level"": ""Intermediate""}",giay yonex court glide,active,false,2026-06-07T00:00:00Z
30000000-0000-4000-8000-000000000009,10000000-0000-4000-8000-000000000002,20000000-0000-4000-8000-000000000003,Giày cầu lông Li-Ning Swift Step,giay-li-ning-swift-step,Mẫu ngừng trưng bày tạm thời,Sản phẩm inactive phục vụ kiểm thử catalog.,"{""upper_material"": ""Synthetic"", ""sole_material"": ""Rubber"", ""court_type"": ""Indoor"", ""player_level"": ""Beginner""}",giay li-ning swift step,inactive,false,2026-05-01T00:00:00Z
30000000-0000-4000-8000-000000000010,10000000-0000-4000-8000-000000000003,20000000-0000-4000-8000-000000000001,Cầu lông thi đấu Feather Pro 12 quả,cau-feather-pro-12,Ống 12 quả tốc độ 77 dùng thi đấu nghiệp dư,Sản phẩm demo cầu lông bán theo ống.,"{""material"": ""Goose Feather"", ""speed"": ""77"", ""quantity_per_tube"": 12, ""usage"": ""Training and competition""}",cau long feather pro 12,active,true,2026-06-08T00:00:00Z
30000000-0000-4000-8000-000000000011,10000000-0000-4000-8000-000000000003,20000000-0000-4000-8000-000000000008,Cầu lông luyện tập Club Tube 12,cau-club-tube-12,Ống cầu luyện tập bền cho phòng tập,Sản phẩm demo cầu luyện tập giá hợp lý.,"{""material"": ""Duck Feather"", ""speed"": ""76"", ""quantity_per_tube"": 12, ""usage"": ""Training""}",cau long club tube 12,active,false,2026-06-09T00:00:00Z
30000000-0000-4000-8000-000000000012,10000000-0000-4000-8000-000000000004,20000000-0000-4000-8000-000000000002,Cước đan vợt Control Spin 0.66 mm,cuoc-control-spin-066,Dây cảm giác xoáy và kiểm soát,Sản phẩm demo dây đan nhiều màu.,"{""gauge_mm"": 0.66, ""feel"": ""Medium"", ""durability"": ""Medium"", ""control"": ""High""}",cuoc control spin 0.66,active,false,2026-06-10T00:00:00Z
30000000-0000-4000-8000-000000000013,10000000-0000-4000-8000-000000000004,20000000-0000-4000-8000-000000000001,Cước đan vợt Power Smash 0.68,cuoc-power-smash-068,Dây thiên lực cho lối đánh smash,Sản phẩm demo dây đan độ bền trung bình.,"{""gauge_mm"": 0.68, ""feel"": ""Firm"", ""durability"": ""High"", ""control"": ""Medium""}",cuoc power smash 0.68,active,false,2026-06-11T00:00:00Z
30000000-0000-4000-8000-000000000014,10000000-0000-4000-8000-000000000004,20000000-0000-4000-8000-000000000008,Cước đan vợt Soft Feel 0.70,cuoc-soft-feel-070,Bản draft đang hiệu chỉnh thông số,Sản phẩm draft chưa mở bán.,"{""gauge_mm"": 0.7, ""feel"": ""Soft"", ""durability"": ""Medium"", ""control"": ""Medium""}",cuoc soft feel 0.70 draft,draft,false,
30000000-0000-4000-8000-000000000015,10000000-0000-4000-8000-000000000005,20000000-0000-4000-8000-000000000008,Quấn cán Comfort Dry Pack,quan-can-comfort-dry-pack,Quấn cán thấm hút bán lẻ và theo pack,Sản phẩm demo grip Comfort Dry.,"{""material"": ""PU"", ""absorbency"": ""High"", ""thickness_mm"": 0.6}",quan can comfort dry,active,true,2026-06-12T00:00:00Z
